section,start,end,title,institution,link,description_1,description_2,loc
education,2009,2015," PhD, Brain & Cognitive Science",Massachusetts Institute of Technology,,Committee: Laura Schulz; Ted Gibson; Jesse Snedeker; Josh Tenenbaum,Thesis title: Who did what to whom: Developmental perspectives on the meaning and communication of transitive events,
education,2004,2008,Sc.B. in Cognitive Science,Brown University,,Advisor: Katherine Demuth,Thesis title: Syntactic generalization with novel intransitive verbs: Who is pilking?,
employment,2019,2021,Research Scientist (Supervisor: Tim Errington),Center for Open Science,,,,
employment,2018,2019,Postdoctoral Associate (PI: Joshua Tenenbaum),MIT Brain & Cognitive Sciences,,,,
employment,2018,2018,Senior Teaching Fellow (Supervisor: Jesse Snedeker),"Harvard Extension School, Department of Psychology",,,,
employment,2016,2017,Postdoctoral Associate (PI: Evelina Fedorenko),MIT Brain & Cognitive Sciences,,,,
employment,2015,2016,Postdoctoral Fellow (PI: Jesse Snedeker),"Harvard University, Department of Psychology",,,,
employment,2021,,Executive Director,"Lookit, MIT Brain & Cognitive Sciences",,,,
preprints,,,LanA (Language Atlas): A probabilistic atlas for the language network based on fMRI,,,"Affourtit, J...Kline Struhl, M.,...Fedorenko, E. (Under Review). LanA (Language Atlas): A probabilistic atlas for the language network based on fMRI.",,
preprints,,,Understanding jokes relies on the Theory of Mind system,,https://psyarxiv.com/h2nyx/,"Kline Struhl., M., Galleé, J., Balewski, Z., & Fedorenko, E. (Under Review). Understanding jokes relies on the Theory of Mind system.",,
preprints,,,Systematizing Confidence in Open Research and Evidence (SCORE),,https://doi.org/10.31235/osf.io/ 46mnb,"Alipourfard, N., Arendt, B., ... Kline Struhl, M., ... Wu, J. (Preprint). Systematizing Confidence in Open Research and Evidence (SCORE).",,
preprints,,,"Replicability, Robustness, and Reproducibility in Psychological Science",,https://doi.org/10.31234/osf.io/ksfvq,"Nosek, B. A., Hardwicke, T. E., Moshontz, H., Allard, A., Corker, K. S., Dreber, A., Fidler, F. Hilgard, J., Kline Struhl, M., Nuijten, M., Roher, J., Romero, F., Scheel, A., Scherer, L., Schönbrodt, F. & Vazire, S. (In Press). Replicability, Robustness, and Reproducibility in Psychological Science. Annual Review of Psychology. ",,
preregistrations,,2018,ManyBabies 1: Secondary analysis of 'lab factors' and fuss-out rates,,https://osf.io/r7g83,"Kline, M. & members of the ManyBabies Consortium (2018) ManyBabies 1: Secondary analysis of 'lab factors' and fuss-out rates",,
preregistrations,,2016,MannerPathPriming - Testing generalization of event semantics across domains,,https://osf.io/7nux2/,"Kline, M., Geojo, A., de Rechteren van Hemert, A., & Snedeker, J. (2016) MannerPathPriming - Testing generalization of event semantics across domains",,
preprints,,,Word order patterns in gesture are sensitive to modality-specific production constraints,,https://psyarxiv.com/62puh/,"Kline, M., Salinas, M., Lim, E., Fedorenko, E., & Gibson, E. Word order patterns in gesture are sensitive to modality-specific production constraints",,
preprints,,,Young children choose informative referring expressions to describe the agents and patients of transitive events,, https://psyarxiv.com/r6mwb/,"Kline, M., Gibson, E. & Schulz, L. Young children choose informative referring expressions to describe the agents and patients of transitive events",,
proceedings,,2016,"Wittenberg, E., Kline, M. & Hartshorne, J. (2016) Learning to talk about events: Grounding language acquisition in intuitive theories and event cognition. Proceedings of the Thirty- Eighth Annual Conference3 of the Cognitive Science Society",,,,,
proceedings,,2015,"Kline, M., Snedeker, J. (2015). 2-year-olds use syntax to infer actor intentions in a rational- action paradigm. Proceedings of the Thirty-Seventh Annual Conference of the Cognitive Science Society.",,,,,
proceedings,,2013,"Kline, M., Muentener, P. & Schulz, L.E. (2013). Transitive and periphrastic sentences affect memory for simple causal scenes. Proceedings of the Thirty-Fifth Annual Conference of the Cognitive Science Society.",,,,,
proceedings,,2011,"Kline, M., Snedeker, J., & Schulz, L.E. (2011). Children's comprehension and production of transitive sentences is sensitive to the causal structure of events. Proceedings of the Thirty-Third Annual Conference of the Cognitive Science Society.",,,,,
presen_posters,,2018,"Kline, M. (2018). ManyBabies - Using larg(er) experimental datasets for methodological and theoretical questions. Society for Research on Child Development, Special Meeting on Secondary Data in Developmental Science. Phoenix, AZ.Kline. M. and the ManyBabies Consortium. (2018). Analysis of ""fussout effects"" in the ManyBabies1 dataset. 21st Biennial Congress of the International Congress of Infant Studies, Philadelphia, PA.",,,,,
presen_posters,,2018,"Kline, M. (2018). Machine-readable, human-friendly data standardization for psychological science. Lightening talk & Hackathon. Third meeting of the Society for the Improvement of Psychological Sciences, Grand Rapids, MI.",,,,,
presen_posters,,2018,"Kline, M. & Snedeker, J. (2018). How are events represented for language? Eigth annual meeting of the Budapest CEU Conference on Cognitive Development, Budapest, Hungary.",,,,,
presen_posters,,2017,"Kline, M. & Snedeker, J. (2017) Do children appreciate parallels in means/ends event structure across semantic fields? 2017 Biennial Meeting of the Society for Research on Child Development, Austin, TX.",,,,,
presen_posters,,2017,"Kline, M. (2017). We need an open database for psychological stimuli (all of them) - Lightening talk & Hackathon. Second meeting of the Society for the Improvement of Psychological Sciences, Charlottesville, VA.",,,,,
presen_posters,,2017,"Kline, M. (2017). Language, Space & Time. Workshop on Cognitive Universals, CUNY Sentence Processing Conference, 2017",,,,,
presen_posters,,2016,"Kline, M. (2016) Which semantic primitives and why those ones? Workshop talk, Learning to Talk About Events, 38th Annual Conference of the Cognitive Science Society, Philadelphia, PA.",,,,,
presen_posters,,2015,"Kline, M., Snedeker, J. (2015). 2-year-olds use syntax to infer actor intentions in a rational-action paradigm. 37th Annual Conference of the Cognitive Science Society, Pasadena, CA",,,,,
presen_posters,,2013,"Kline, M., Muentener, P. & Schulz, L.E. (2013). Transitive and periphrastic sentences affect memory for simple causal scenes. 35th Annual Conference of the Cognitive Science Society, Berlin, Germany.",,,,,
presen_posters,,2013,"Kline, M., Snedeker, J. & Schulz, L.E. (2013) Representations of causality in verb learning. 2013 Biennial Meeting of the Society for Research on Child Development, Seattle, WA.",,,,,
presen_posters,,2011,"Kline, M., Snedeker, J., & Schulz, L.E. (2011). Preschoolers prefer to map novel transitive verbs to events with spatiotemporal features that mark causation. 36th Annual Boston University Conference on Language Development, Boston, MA.",,,,,
presen_posters,,2011,"Kline, M., Snedeker, J., & Schulz, L.E. (2011). Children's comprehension and production of transitive sentences is sensitive to the causal structure of events. 33rd Annual Conference of the Cognitive Science Society, Boston, MA.",,,,,
presen_posters,,2008,"Kline, M. & Demuth, K. (2008). Syntactic generalization with novel intransitive verbs: Who is pilking? 33rd Annual Boston University Conference on Language Development, Boston, MA.",,,,,
presen_posters,,2008,"Kline, M. & Demuth, K. (2008). Frequency and structural priming in the input: Implications for learning the passive. Generative Approaches to Language Acquisition North America (GALANA) 3, Storrs, CT.",,,,,
presen_posters,,2006,"Kline, M. & Demuth, K. (2006). Learning passives from the input: Evidence from Sesotho. 2nd Bantu Acquisition Workshop, Northampton, MA.",,,,,
